"product_id","product_type","product_name","product_status","product_url","product_image_url","product_brand","product_hood","product_city","product_area","product_tags"
"678","اتاق فرار","خانواده مرموز","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%ae%d8%a7%d9%86%d9%88%d8%a7%d8%af%d9%87-%d9%85%d8%b1%d9%85%d9%88%d8%b2/","http://escapezoom.ir/wp-content/uploads/2020/12/khanevade-marmooz-update-300-370.jpg","{""id"": 140, ""name"": ""Barcode Escape"", ""slug"": ""%d8%a8%d8%a7%d8%b1%da%a9%d8%af-%d8%a7%d8%b3%da%a9%db%8c%d9%be-barcode-escape-room"", ""image"": ""http://escapezoom.ir/wp-content/uploads/2020/12/barcode-escape-logo.jpg""}","تهرانسر","{""id"": 15, ""name"": ""تهران"", ""slug"": ""%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86""}","{""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}","[{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86%d8%b3%d8%b1/"", ""title"": ""تهرانسر""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""غرب تهران""}]"
"721","اتاق فرار","روز مرگت مبارک!","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b1%d9%88%d8%b2-%d9%85%d8%b1%da%af%d8%aa-%d9%85%d8%a8%d8%a7%d8%b1%da%a9/","http://escapezoom.ir/wp-content/uploads/2020/11/happy-deathday-e1606825535981.jpeg","{""id"": 120, ""name"": ""X Escape"", ""slug"": ""xescape"", ""image"": ""http://escapezoom.ir/wp-content/uploads/2020/11/xescape.png""}","شریعتی-ظفر","{""id"": 15, ""name"": ""تهران"", ""slug"": ""%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86""}","{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d8%b1%db%8c%d8%b9%d8%aa%db%8c/"", ""title"": ""شریعتی""}","[{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%af%d9%84%d9%87%d8%b1%d9%87-%d8%a2%d9%88%d8%b1/"", ""title"": ""دلهره آور""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d8%b1%db%8c%d8%b9%d8%aa%db%8c/"", ""title"": ""شریعتی""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d9%85%d8%a7%d9%84-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""شمال تهران""}]"
"725","اتاق فرار","سوخانوفکا Sukhanovka","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b3%d9%88%d8%ae%d8%a7%d9%86%d9%88%d9%81%da%a9%d8%a7/","https://escapezoom.ir/wp-content/uploads/2020/11/sukhanofka-escape-room-cover.jpg","{""id"": 120, ""name"": ""X Escape"", ""slug"": ""xescape"", ""image"": ""https://escapezoom.ir/wp-content/uploads/2020/11/xescape.png""}"," ظفر","{""id"": 15, ""name"": ""تهران"", ""slug"": ""%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86""}","{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d8%b1%db%8c%d8%b9%d8%aa%db%8c/"", ""title"": ""شریعتی""}","[{""url"": ""/type/%d8%a7%da%a9%d8%b4%d9%86/"", ""title"": ""اکشن""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d9%87%db%8c%d8%ac%d8%a7%d9%86%db%8c/"", ""title"": ""هیجانی""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d8%b1%db%8c%d8%b9%d8%aa%db%8c/"", ""title"": ""شریعتی""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d9%85%d8%a7%d9%84-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""شمال تهران""}]"
"731","اتاق فرار","آزمایشگاه 13","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-lab-13/","http://escapezoom.ir/wp-content/uploads/2020/11/lab13-1.jpg","{""id"": 327, ""name"": ""اوِرال اسکیپ"", ""slug"": ""%d8%a7%d9%88%d9%90%d8%b1%d8%a7%d9%84-%d8%a7%d8%b3%da%a9%db%8c%d9%be-overall-escape"", ""image"": ""http://escapezoom.ir/wp-content/uploads/2021/05/overall-escape.jpg""}","ستارخان","{""id"": 15, ""name"": ""تهران"", ""slug"": ""%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86""}","{""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}","[{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""غرب تهران""}]"
"738","اتاق فرار","ناقوس","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d9%86%d8%a7%d9%82%d9%88%d8%b3/","http://escapezoom.ir/wp-content/uploads/2020/11/naghoos2-poster-300-370.jpg","{""id"": 365, ""name"": ""بینگو اسکیپ روم"", ""slug"": ""%d8%a8%db%8c%d9%86%da%af%d9%88-%d8%a7%d8%b3%da%a9%db%8c%d9%be-bingoescaperoom"", ""image"": ""http://escapezoom.ir/wp-content/uploads/2021/10/logo-black.jpg""}","دهکده المپیک","{""id"": 15, ""name"": ""تهران"", ""slug"": ""%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86""}","{""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}","[{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b9%d8%a7%d9%85%d9%84%db%8c/"", ""title"": ""تعاملی""}, {""url"": ""/type/%d8%af%d9%84%d9%87%d8%b1%d9%87-%d8%a2%d9%88%d8%b1/"", ""title"": ""دلهره آور""}, {""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""غرب تهران""}]"
"830","اتاق فرار","احضار","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%a7%d8%ad%d8%b6%d8%a7%d8%b1/","http://escapezoom.ir/wp-content/uploads/2020/11/conjuring-cover-e1607933521621.jpeg",NULL,"جردن",NULL,NULL,"[{""url"": ""/type/%d8%a7%d8%b3%d9%84%d8%b4%d8%b1/"", ""title"": ""اسلشری""}, {""url"": ""/type/%d8%a7%da%a9%d8%b4%d9%86/"", ""title"": ""اکشن""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b9%d8%a7%d9%85%d9%84%db%8c/"", ""title"": ""تعاملی""}, {""url"": ""/type/%d8%ac%d9%86%d8%a7%db%8c%db%8c/"", ""title"": ""جنایی""}, {""url"": ""/type/%d9%85%d8%b9%d9%85%d8%a7%db%8c%db%8c/"", ""title"": ""معمامحوروهیجانی""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d9%88%d9%87%d9%85-%d8%a2%d9%84%d9%88%d8%af/"", ""title"": ""وهم‌آلود""}]"
"833","اتاق فرار","شب سیزدهم","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d8%a8-%d8%b3%db%8c%d8%b2%d8%af%d9%87%d9%85/","https://escapezoom.ir/wp-content/uploads/2020/11/13th-night-cover.jpg","{""id"": 142, ""name"": ""اسکیپ روم دات آی آر"", ""slug"": ""escaperoom-ir"", ""image"": ""https://escapezoom.ir/wp-content/uploads/2020/12/escape-room-dot-ir.jpg""}","حقانی","{""id"": 15, ""name"": ""تهران"", ""slug"": ""%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86""}","{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d9%85%d8%a7%d9%84-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""شمال تهران""}","[{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b9%d8%a7%d9%85%d9%84%db%8c/"", ""title"": ""تعاملی""}, {""url"": ""/type/%d9%87%db%8c%d8%ac%d8%a7%d9%86%db%8c/"", ""title"": ""هیجانی""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d9%85%d8%a7%d9%84-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""شمال تهران""}]"
"840","اتاق فرار","طاعون","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b7%d8%a7%d8%b9%d9%88%d9%86/","https://escapezoom.ir/wp-content/uploads/2020/11/plague-cover-e1607939252274.jpg","{""id"": 142, ""name"": ""اسکیپ روم دات آی آر"", ""slug"": ""escaperoom-ir"", ""image"": ""https://escapezoom.ir/wp-content/uploads/2020/12/escape-room-dot-ir.jpg""}","چهارراه وفایی","{""id"": 122, ""name"": ""اصفهان"", ""slug"": ""%d8%a7%d8%b5%d9%81%d9%87%d8%a7%d9%86""}",NULL,"[{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%af%d9%84%d9%87%d8%b1%d9%87-%d8%a2%d9%88%d8%b1/"", ""title"": ""دلهره آور""}]"
"843","اتاق فرار","کابوس","expired","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%da%a9%d8%a7%d8%a8%d9%88%d8%b3/","https://escapezoom.ir/wp-content/uploads/2020/12/kaboos-300.jpg","{""id"": 767, ""name"": ""crazy"", ""slug"": ""crazy"", ""image"": ""https://escapezoom.ir/wp-content/uploads/2023/07/photo_5890862218914940378_x.jpg""}","نوبهار","{""id"": 293, ""name"": ""کرمانشاه"", ""slug"": ""%da%a9%d8%b1%d9%85%d8%a7%d9%86%d8%b4%d8%a7%d9%87""}",NULL,"[{""url"": ""/type/%d8%a7%d8%b3%d9%84%d8%b4%d8%b1/"", ""title"": ""اسلشری""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b1%d8%b3%d9%86%d8%a7%da%a9/"", ""title"": ""ترسناک""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b9%d8%a7%d9%85%d9%84%db%8c/"", ""title"": ""تعاملی""}, {""url"": ""/type/%d9%87%db%8c%d8%ac%d8%a7%d9%86%db%8c/"", ""title"": ""هیجانی""}]"
"847","اتاق فرار","شبح بازارچه","deactivated","/room/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b4%d8%a8%d8%ad-%d8%a8%d8%a7%d8%b2%d8%a7%d8%b1%da%86%d9%87/","http://escapezoom.ir/wp-content/uploads/2020/11/ghost-of-bazaar-cover.jpg","{""id"": 142, ""name"": ""اسکیپ روم دات آی آر"", ""slug"": ""escaperoom-ir"", ""image"": ""http://escapezoom.ir/wp-content/uploads/2020/12/escape-room-dot-ir.jpg""}","سعادت آباد","{""id"": 15, ""name"": ""تهران"", ""slug"": ""%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86""}","{""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}","[{""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%aa%d8%b9%d8%a7%d9%85%d9%84%db%8c/"", ""title"": ""تعاملی""}, {""url"": ""/type/%d9%85%d8%b9%d9%85%d8%a7%db%8c%db%8c/"", ""title"": ""معمامحور""}, {""url"": ""/type/%d9%87%db%8c%d8%ac%d8%a7%d9%86%db%8c/"", ""title"": ""هیجانی""}, {""url"": ""/type/%d8%a8%d8%a7%d8%b2%db%8c-%d9%87%d8%a7%db%8c-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""بازی های غرب تهران""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%b3%d8%b9%d8%a7%d8%af%d8%aa-%d8%a2%d8%a8%d8%a7%d8%af/"", ""title"": ""سعادت آباد""}, {""url"": ""/type/%d8%a7%d8%aa%d8%a7%d9%82-%d9%81%d8%b1%d8%a7%d8%b1-%d8%ba%d8%b1%d8%a8-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/"", ""title"": ""غرب تهران""}]"
